ID,Name,Description,Action,Price,Mana,Level,MaxLevel,Tier,DecayTo,AIKeepSequence,AIPlaySequence
255,Infernal Contract,Your opponent discards their hand and gains curses equal to the number of cards discarded this way.,1,-1,0,0,0,8,,50,10
256,Corrupt,Your opponent loses 10 maximum and current health.,1,-1,0,0,0,8,,50,50
257,Brambles,Deal 10 @atk damage.,1,-1,0,0,0,6,,50,50
258,Might of Oak,For the remainder of the fight. you deal 1 additional damage from each physical source.,1,-1,0,0,0,6,,50,8
259,Entrap,Your opponent's maximum hand size is reduced by 1. They discard a card.,1,-1,0,0,0,6,,50,50
260,Teach,Your opponent chooses a card in their hand and exiles it for the remainder of the fight. They then add a Sear to their hand if they exiled an Action. a Slap if they exiled an Attack. or an Attack (level 1) otherwise.,1,-1,0,0,0,4,,50,50
261,Dance! Puppets!,Your opponent becomes a puppet until your next turn. While a puppet. they may not end their turn early or discard cards freely and cards they play hit themselves instead of you.,1,-1,0,0,0,8,,50,50
262,Engulf,Exile target equipment or prayer card. Gain 5 health.,1,-1,0,0,0,3,,50,50
263,Baleful Gaze,Your opponent loses half their health. rounded down (maximum loss of 60).,1,-1,0,0,0,7,,50,30
264,Incorporeal,Become physical resistant until your next turn.,1,-1,0,0,0,3,,50,50
265,Fly,Take no damage until your next turn. Exile Fly.,1,-1,0,0,0,4,,50,50
266,Digest,Your opponent exiles a card at random from their hand.,1,-1,0,0,0,3,,50,50
267,Gaze,Your opponent takes 5 damage for each curse card in their hand. Draw a card.,1,-1,0,0,0,2,,20,50
268,Drain Life,Your opponent loses 5 maximum health. Heal 5 health.,1,-1,0,0,0,5,,50,50
269,Soul Crush,Deal 10 damage. Your opponent discards 2 cards. This has no effect on players with damage reduction. physical resistance. dodge. or a ward.,1,-1,0,0,0,6,,0,0
270,Beckon,Exile 2 cards at random from your opponent's hand.,1,-1,0,0,0,6,,50,50
271,Ravage,Deal 2 damage for each attack card in play.,1,-1,0,0,0,6,,50,95
272,Deadly Curse,Replace 3 random non-curse cards in your opponent's hand with curses.,1,-1,0,0,0,8,,50,20
273,Wreath of Fire,For the remainder of the fight. when an opponent plays an attack card. deal 3 @fir damage to them.,1,-1,0,0,0,5,,50,50
274,Scorch,Deal 3 @fir damage. Deal 3 @fir damage for each level of burning on your opponent.,1,-1,0,0,0,6,,50,90
275,Swarm,Deal 1 @atk damage for each goblin in play.,1,-1,0,0,0,2,,50,80
276,Swarm,Deal 2 @atk damage for each goblin in play.,1,-1,0,0,0,3,,50,80
277,Sword (Level 1),At the start of your turn. deal 1 @atk damage.,0,30,0,1,4,3,,30,0
278,Sword (Level 2),At the start of your turn. deal 2 @atk damage.,0,40,0,2,4,4,,40,0
279,Sword (Level 3),At the start of your turn. deal 3 @atk damage.,0,50,0,3,4,5,,50,0
280,Sword (Level 4),At the start of your turn. deal 4 @atk damage.,0,60,0,4,4,6,,60,0
281,Sword,Deal 1 @atk damage for every 2 attack cards you play in a turn.,0,25,0,0,0,3,,30,0
282,Greatbow,Deal 1 @atk damage for each action card you play.,0,40,0,0,0,4,,40,0
283,Staff,When you gain mana. deal 1 @atk damage for every 2 mana you gained (rounded down).,0,35,0,0,0,4,,40,0
284,Pendant,Gain 2 mana at the start of each turn.,0,20,0,0,0,2,,20,0
285,Shield,You have a 20% chance of dodging your opponent's attack cards.,0,20,0,0,0,1,,10,0
286,Armor,Prevent the first 3 @atk damage you would take each turn.,0,40,0,0,0,5,,40,0
287,Celestial Plate,Gain <Damage Reduction 1> ^. Gain 2 health at the start of each turn.,0,90,0,0,0,9,,100,0
288,Darting Daggers,At the end of your turn. deal @atk damage to your opponent equal to twice the number of @tim you have left. then lose all your @tim ^.,0,60,0,0,0,5,,50,0
289,Boots of Speed,At the beginning of your turn. draw a card and gain 1 @tim ^.,0,75,0,0,0,7,,50,0
290,Cloak of Flame,Whenever your opponent plays an attack card. they take 2 @fir damage.,0,85,0,0,0,7,,60,0
291,Donnerschwert,Whenever you play an attack card. deal 1 @air damage.,0,50,0,0,0,6,,60,0
292,The Bleeder,When you play an attack card. your opponent is <Weakened 1> ^.,0,120,0,0,0,10,,90,0
293,Jasra's Tome,At the beginning of your turn. draw the next spell card in your deck.,0,55,0,0,0,7,,70,0
294,Jeremiad's Bracer,You have a 10% chance of dodging your opponent's attack cards. \n Whenever you dodge. draw a card.,0,45,0,0,0,5,,40,0
295,Phoenix Feather,If you would die. exile Phoenix Feather and remove it from your deck permanently. Your health is set to its maximum.,0,50,0,0,0,5,,50,0
296,Vampire Sword,For each 3 @atk damage you deal each turn. gain 1 health.,0,80,0,0,0,8,,80,0
297,Flamebrand,At the start of your turn. draw a <temporary> Fireball card.,0,70,0,0,0,7,,60,0
298,Jasra's Emerald,When you play a spell card. draw a card.,0,130,0,0,0,10,,100,0
299,Jeremiad's Kris,When you play an attack card. deal 1 @atk damage for every 2 action cards in play (rounded up).,0,60,0,0,0,7,,100,0
300,Poison Dagger,For every 2 attack cards you play in a turn. your opponent becomes <Poisoned 1> ^.,0,30,0,0,0,3,,30,0
301,Scimitars,Whenever you play a non-temporary card named 'Attack' (any level). draw a temporary copy of that card.,0,40,0,0,0,6,,60,0
302,Periapt of Protection,You are immune to damage on your turn.,0,35,0,0,0,5,,50,0
303,Deck of Wonder,At the start of your turn. draw a random non-equipment card (from among all unlocked cards). That card is <temporary> ^.,0,65,0,0,0,7,,60,0
304,Bloody Knuckles,At the start of your turn. if you have at most half your health. draw a card. Then. if your opponent has at most half their health. draw a card.,0,40,0,0,0,7,,70,0
305,Dancing Scimitar,At the beginning of your turn. deal 3 @atk damage to your opponent.,0,25,0,0,0,4,,40,0
306,Troll Blood Charm,When you win a combat. heal half your missing health (rounded up).,0,20,0,0,0,2,,20,0
307,Soulforge,When you defeat an opponent with a levelable card. it levels up.,0,30,0,0,0,2,,20,0
308,Gauss' Hourglass,If you have no cards in play at the end of your turn. draw cards equal to your maximum hand size after you refill your hand.,0,20,0,0,0,3,,30,0
309,Bear,At the beginning of your turn. deal 3 @atk damage to your opponent. \n Prevent the first 3 physical damage you would take each turn.,0,-1,0,0,0,6,,60,50
310,Forcefield,Damage dealt to you in excess of 3 is reduced to 3.,0,75,0,0,0,7,,70,0
311,Cloak of Invisibility,Prevent the first card your opponent plays in each turn from having any effect. This effect stacks.,0,80,0,0,0,8,,80,0
312,Goblin Ally,At the beginning of your turn. deal 1 @atk damage.,0,-1,0,0,0,2,,50,0
313,Goblin Lackey,When you play Goblin Lackey. draw a card and gain 1 @tim ^. At the beginning of your turn. deal 1 @atk damage.,0,-1,0,0,0,4,,50,0
314,Phylactery,While phylactery is in play. if the lich would die. instead its health is set to 1.,0,-1,0,0,0,2,,50,0
315,Storm Blade,Whenever you play an attack card. deal 1 @air damage.,0,-1,0,0,0,7,,50,0
316,Mana Totem,At the beginning of your turn. Mana Totem gains 1 charge. Then gain 1 mana for each charge on Mana Totem.,0,-1,0,0,0,2,,50,0
317,Haste Totem,At the beginning of your turn. Haste Totem gains 1 charge. Then draw a card and gain 1 @tim for each charge on Haste Totem.,0,-1,0,0,0,6,,50,0
318,Shock Totem,At the beginning of your turn. Shock Totem gains 1 charge. Then deal 2 @air damage for each charge counter on Shock Totem.,0,-1,0,0,0,4,,50,0
319,Disorient,Trigger: An opponent plays an action card. \n Effect: That card behaves as if you had played it instead.,0,15,0,0,0,6,,60,50
320,Riposte,Trigger: An opponent plays an attack card. \n Effect: That attack card has no effect. Deal 2 @atk damage. Draw a card.,0,40,0,0,0,5,,50,50
321,Exhaustion,Trigger: An opponent plays a card with at least 3 others in play. \n Effect: That card has no effect. The turn ends.,0,45,0,0,0,7,,70,50
322,Fester,Trigger: An opponent heals. \n Effect: Instead. the opponent takes that much @ear damage.,0,15,0,0,0,4,,40,50
323,Protean,Trigger: Your turn starts and all the cards in your hand have different names. \n Effect: Draw 3 cards. \n Note: Attack (1) and Attack (2) have different names.,1,15,0,0,0,4,,30,50
324,Cower,Trigger: You take damage. \n Effect: Prevent that damage. Draw a card.,0,-1,0,0,0,1,,50,50
325,Screech,Trigger: An opponent plays a spell. \n Effect: That spell has no effect. Draw a card.,0,-1,0,0,0,2,,50,50
326,Retaliate,Trigger: An opponent ends their turn. \n Effect: Deal 1 @atk damage for each attack card in play.,0,-1,0,0,0,4,,50,50
327,Retribution,Trigger: An opponent ends their turn. \n Effect: Deal 1 @atk damage for each action card in play.,0,-1,0,0,0,4,,50,50
328,Reenact,Trigger: 75% chance when an opponent plays an attack. action. or spell card (once per card). \n Effect: Copy the effects of that card. Draw a card.,0,-1,0,0,0,4,,50,50
329,Slurp,Trigger: 35% chance when an opponent plays an attack. action. mana. or spell card. \n Effect: That card has no effect. Exile it for the remainder of the fight. Heal for 5 health.,0,-1,0,0,0,4,,50,50
330,Ink Spray,Trigger: An opponent plays a card with at least 3 others in play. \n Effect: That card has no effect. The turn ends. Exile Ink Spray.,0,-1,0,0,0,6,,50,50
331,Chain Lightning,Trigger: An opponent plays a card (10% chance per card in play) \n Effect: That card has no effect. The opponent takes 2 @air damage for each card in play. The turn ends.,0,-1,0,0,0,6,,50,50
332,Counterspell,Trigger: An opponent plays a spell. \n Effect: That spell has no effect. Draw a card.,0,-1,0,0,0,4,,50,50
333,Prayer of Wrath,When the last counter is removed. deal @fir damage based on the number of counters this started with: \n 1: 5 \n 2: 10 \n 3: 15 \n 4: 20 \n 5: 25,0,45,0,0,0,6,,60,50
334,Prayer of Violence,When the last counter is removed. deal @atk damage based on the number of counters this started with: \n 1: 3 \n 2: 6 \n 3: 9 \n 4: 12 \n 5: 15,0,20,0,0,0,3,,30,50
335,Prayer of Speed,When the last counter is removed. draw cards based on the number of counters it started with: \n 1: 2 \n 2: 4 \n 3: 6 \n 4: 8 \n 5: 10,0,65,0,0,0,8,,50,50
336,Prayer of Life,When the last counter is removed. heal based on the number of counters it started with: \n 1: 3 \n 2: 6 \n 3: 9 \n 4: 12 \n 5: 15,0,15,0,0,0,1,,10,50
337,Curse of Doom,After 5 turns. deal 50 <piercing> damage.,0,65,0,0,0,8,,50,50
338,Curse of Doom,After 5 turns. deal 30 <piercing> damage.,0,-1,0,0,0,6,,50,50
339,Curse of Doom,After 5 turns. deal 50 <piercing> damage.,0,-1,0,0,0,8,,50,50
340,Curse,,0,-1,0,0,0,0,,0,50
